subject,item,accuracy,latency,valence,length,frequency
4,writer,1,649,5.52,6,37.42
5,alive,1,447,7.25,5,42.54
5,bandage,1,531,4.54,7,2.53
5,bright,1,445,7.5,6,55.4
5,carcass,1,573,3.34,7,1.4
5,cheer,1,512,8.1,5,7.81
5,coast,1,512,5.98,5,47.01
5,detail,1,492,5.55,6,62.23
5,devil,1,452,2.21,5,17.32
5,door,1,388,5.13,4,253.65
5,evil,1,477,3.23,4,28.83
5,face,1,416,6.39,4,349.78
5,fat,1,469,2.28,3,46.11
5,foul,1,549,2.81,4,10.43
5,glass,1,445,4.75,5,98.56
5,grenade,1,510,3.6,7,1.94
5,hatred,1,436,1.98,6,10.52
5,heal,1,501,7.09,4,5.24
5,kettle,1,466,5.22,6,9.25
5,kick,1,522,4.31,4,23.24
5,kind,1,457,7.59,4,237.97
5,lesbian,1,749,4.67,7,7.13
5,maggot,1,537,2.06,6,2.35
5,moral,1,502,6.2,5,53.95
5,mountain,1,590,6.59,8,39.61
5,news,1,604,5.3,4,145.58
5,pain,1,443,2.13,4,73.38
5,pig,1,412,5.07,3,13.51
5,quarrel,1,558,2.93,7,5.83
5,rattle,1,542,5.03,6,3.77
5,safe,1,550,7.07,4,69.73
5,scum,1,974,2.43,4,5.78
5,shadow,1,467,4.35,6,30.95
5,sin,1,451,2.8,3,13.61
5,slap,1,540,2.95,4,4.88
5,snuggle,1,541,7.92,7,0.33
5,stress,1,555,2.09,6,48.7
5,table,1,562,5.22,5,202
5,tank,1,1109,5.16,4,33.24
5,toothache,1,443,1.98,9,0.98
5,toy,1,467,7,3,9.77
5,trust,1,419,6.68,5,101.98
5,useful,1,727,7.14,6,100.71
5,vehicle,1,547,6.27,7,42.23
5,village,1,493,5.92,7,113.4
5,watch,1,443,5.78,5,95.57
5,world,1,538,6.5,5,590.31
6,alert,1,485,6.2,5,16
6,beggar,1,1186,3.22,6,2.42
6,brave,1,651,7.15,5,18.3
6,breeze,1,475,6.85,6,13.81
6,caress,0,448,7.84,6,2.13
6,charm,1,460,6.77,5,14.25
6,cow,1,395,5.57,3,13.96
6,crude,1,638,3.12,5,13.7
6,crutch,1,712,3.43,6,1.17
6,cyclone,1,618,3.6,7,0.95
6,earth,1,644,7.15,5,97.15
6,fun,1,420,8.37,3,51.21
6,game,1,442,6.98,4,150.08
6,hard,0,601,5.22,4,229.35
6,hat,1,617,5.46,3,31.37
6,hotel,1,1658,6,5,114.47
6,hurt,1,547,1.9,4,45.81
6,idiot,1,507,3.16,5,6.49
6,improve,1,491,7.65,7,62.08
6,interest,1,519,6.97,8,276.11
6,iron,1,492,4.9,4,47.5
6,lost,1,704,2.82,4,194.2
6,louse,1,915,2.81,5,0.5
6,manure,1,550,3.1,6,3.01
6,market,1,662,5.66,6,300.78
6,medicine,1,599,5.67,8,27.87
6,nectar,1,899,6.9,6,1.47
6,needle,1,625,3.82,6,12.49
6,neglect,1,268,2.63,7,12.05
6,noisy,1,530,5.02,5,10.23
6,penis,1,829,5.9,5,5.34
6,pinch,1,545,3.83,5,5.59
6,pollute,1,657,1.85,7,1.14
6,pressure,1,666,3.38,8,119.75
6,radiant,1,648,6.73,7,2.45
6,reward,1,468,7.53,6,19.79
6,scandal,1,620,3.32,7,14.73
6,snake,1,458,3.31,5,7.54
6,snob,1,516,3.36,4,1.25
6,sour,1,551,3.93,4,6.66
6,space,1,405,6.78,5,126.54
6,spirit,1,561,7,6,64.9
6,stool,1,750,4.56,5,8.64
6,talent,1,426,7.56,6,20.95
6,theory,1,539,5.3,6,131.29
6,thief,1,1045,2.13,5,7.57
6,toxic,1,548,2.1,5,12.2
6,travel,1,576,7.1,6,72.71
6,trophy,1,458,7.78,6,13.03
6,trunk,1,572,5.09,5,8.16
6,wasp,1,540,3.37,4,2.58
6,wife,1,495,6.33,4,171.06
6,windmill,1,481,5.6,8,1.94
6,writer,1,544,5.52,6,37.42
7,alive,1,442,7.25,5,42.54
7,bandage,1,508,4.54,7,2.53
7,bright,1,358,7.5,6,55.4
7,carcass,1,657,3.34,7,1.4
7,cheer,1,465,8.1,5,7.81
7,coast,1,364,5.98,5,47.01
7,detail,1,427,5.55,6,62.23
7,devil,1,501,2.21,5,17.32
7,door,1,430,5.13,4,253.65
7,evil,1,540,3.23,4,28.83
7,face,1,454,6.39,4,349.78
7,fat,1,483,2.28,3,46.11
7,foul,1,511,2.81,4,10.43
7,glass,1,436,4.75,5,98.56
7,grenade,1,655,3.6,7,1.94
7,hatred,1,537,1.98,6,10.52
7,heal,1,510,7.09,4,5.24
7,kettle,1,409,5.22,6,9.25
7,kick,1,527,4.31,4,23.24
7,kind,1,481,7.59,4,237.97
7,lesbian,1,606,4.67,7,7.13
7,maggot,1,732,2.06,6,2.35
7,moral,1,559,6.2,5,53.95
7,mountain,1,600,6.59,8,39.61
7,news,1,420,5.3,4,145.58
7,pain,1,515,2.13,4,73.38
7,pig,1,432,5.07,3,13.51
7,quarrel,1,455,2.93,7,5.83
7,rattle,1,446,5.03,6,3.77
7,safe,1,429,7.07,4,69.73
7,scum,1,461,2.43,4,5.78
7,shadow,1,418,4.35,6,30.95
7,sin,1,408,2.8,3,13.61
7,slap,1,463,2.95,4,4.88
7,snuggle,1,977,7.92,7,0.33
7,stress,1,690,2.09,6,48.7
7,table,1,670,5.22,5,202
7,tank,1,520,5.16,4,33.24
7,toothache,1,747,1.98,9,0.98
7,toy,1,458,7,3,9.77
7,trust,1,413,6.68,5,101.98
7,useful,1,450,7.14,6,100.71
7,vehicle,1,417,6.27,7,42.23
7,village,1,420,5.92,7,113.4
7,watch,1,412,5.78,5,95.57
7,world,1,451,6.5,5,590.31
8,alert,1,686,6.2,5,16
8,beggar,1,453,3.22,6,2.42
8,brave,1,513,7.15,5,18.3
8,breeze,1,507,6.85,6,13.81
8,caress,1,658,7.84,6,2.13
8,charm,1,511,6.77,5,14.25
8,cow,0,558,5.57,3,13.96
8,crude,1,517,3.12,5,13.7
8,crutch,1,542,3.43,6,1.17
8,cyclone,1,521,3.6,7,0.95
8,earth,1,528,7.15,5,97.15
8,fun,1,546,8.37,3,51.21
8,game,1,462,6.98,4,150.08
8,hard,1,714,5.22,4,229.35
8,hat,0,621,5.46,3,31.37
8,hotel,1,571,6,5,114.47
8,hurt,1,701,1.9,4,45.81
8,idiot,1,470,3.16,5,6.49
8,improve,1,572,7.65,7,62.08
8,interest,1,433,6.97,8,276.11
8,iron,1,1030,4.9,4,47.5
8,lost,1,572,2.82,4,194.2
8,louse,1,625,2.81,5,0.5
8,manure,1,507,3.1,6,3.01
8,market,1,446,5.66,6,300.78
8,medicine,1,416,5.67,8,27.87
8,nectar,1,745,6.9,6,1.47
8,needle,1,444,3.82,6,12.49
8,neglect,1,453,2.63,7,12.05
8,noisy,1,532,5.02,5,10.23
8,penis,1,493,5.9,5,5.34
8,pinch,1,525,3.83,5,5.59
8,pollute,1,624,1.85,7,1.14
8,pressure,1,513,3.38,8,119.75
8,radiant,1,500,6.73,7,2.45
8,reward,1,756,7.53,6,19.79
8,scandal,1,549,3.32,7,14.73
8,snake,1,433,3.31,5,7.54
8,snob,1,559,3.36,4,1.25
8,sour,1,478,3.93,4,6.66
8,space,1,446,6.78,5,126.54
8,spirit,1,590,7,6,64.9
8,stool,1,524,4.56,5,8.64
8,talent,1,550,7.56,6,20.95
8,theory,1,770,5.3,6,131.29
8,thief,1,543,2.13,5,7.57
8,toxic,1,449,2.1,5,12.2
8,travel,1,534,7.1,6,72.71
8,trophy,1,526,7.78,6,13.03
8,trunk,1,3035,5.09,5,8.16
8,wasp,1,459,3.37,4,2.58
8,wife,1,613,6.33,4,171.06
8,windmill,1,447,5.6,8,1.94
8,writer,1,696,5.52,6,37.42
9,alive,1,588,7.25,5,42.54
9,bandage,1,985,4.54,7,2.53
9,bright,1,581,7.5,6,55.4
9,carcass,1,4279,3.34,7,1.4
9,cheer,1,757,8.1,5,7.81
9,coast,1,712,5.98,5,47.01
9,detail,1,480,5.55,6,62.23
9,devil,1,572,2.21,5,17.32
9,door,1,391,5.13,4,253.65
9,evil,1,522,3.23,4,28.83
9,face,1,709,6.39,4,349.78
9,fat,1,503,2.28,3,46.11
9,foul,1,594,2.81,4,10.43
9,glass,1,429,4.75,5,98.56
9,grenade,1,479,3.6,7,1.94
9,hatred,1,524,1.98,6,10.52
9,heal,1,1099,7.09,4,5.24
9,kettle,1,530,5.22,6,9.25
9,kick,1,621,4.31,4,23.24
9,kind,1,534,7.59,4,237.97
9,lesbian,1,643,4.67,7,7.13
9,maggot,1,633,2.06,6,2.35
9,moral,1,521,6.2,5,53.95
9,mountain,1,528,6.59,8,39.61
9,news,1,630,5.3,4,145.58
9,pain,1,478,2.13,4,73.38
9,pig,1,596,5.07,3,13.51
9,quarrel,1,513,2.93,7,5.83
9,rattle,1,588,5.03,6,3.77
9,safe,1,627,7.07,4,69.73
9,scum,1,652,2.43,4,5.78
9,shadow,1,589,4.35,6,30.95
9,sin,1,473,2.8,3,13.61
9,slap,1,467,2.95,4,4.88
9,snuggle,1,623,7.92,7,0.33
9,stress,1,491,2.09,6,48.7
9,table,1,612,5.22,5,202
9,tank,1,563,5.16,4,33.24
9,toothache,1,764,1.98,9,0.98
9,toy,1,547,7,3,9.77
9,trust,1,574,6.68,5,101.98
9,useful,1,651,7.14,6,100.71
9,vehicle,1,554,6.27,7,42.23
9,village,1,513,5.92,7,113.4
9,watch,1,617,5.78,5,95.57
9,world,1,498,6.5,5,590.31
10,alert,1,428,6.2,5,16
10,beggar,1,452,3.22,6,2.42
10,brave,1,407,7.15,5,18.3
10,breeze,1,410,6.85,6,13.81
10,caress,1,587,7.84,6,2.13
10,charm,1,413,6.77,5,14.25
10,cow,1,327,5.57,3,13.96
10,crude,1,474,3.12,5,13.7
10,crutch,1,468,3.43,6,1.17
10,cyclone,1,972,3.6,7,0.95
10,earth,1,459,7.15,5,97.15
10,fun,1,420,8.37,3,51.21
10,game,1,376,6.98,4,150.08
10,hard,1,442,5.22,4,229.35
10,hat,1,365,5.46,3,31.37
10,hotel,1,422,6,5,114.47
10,hurt,1,550,1.9,4,45.81
10,idiot,1,489,3.16,5,6.49
10,improve,1,648,7.65,7,62.08
10,interest,1,447,6.97,8,276.11
10,iron,1,354,4.9,4,47.5
10,lost,1,384,2.82,4,194.2
10,louse,0,331,2.81,5,0.5
10,manure,1,410,3.1,6,3.01
10,market,1,398,5.66,6,300.78
10,medicine,1,454,5.67,8,27.87
10,nectar,1,617,6.9,6,1.47
10,needle,1,389,3.82,6,12.49
10,neglect,1,484,2.63,7,12.05
10,noisy,1,394,5.02,5,10.23
10,penis,1,538,5.9,5,5.34
10,pinch,1,585,3.83,5,5.59
10,pollute,1,615,1.85,7,1.14
10,pressure,1,472,3.38,8,119.75
10,radiant,1,567,6.73,7,2.45
10,reward,1,471,7.53,6,19.79
10,scandal,1,433,3.32,7,14.73
10,snake,1,474,3.31,5,7.54
10,snob,1,512,3.36,4,1.25
10,sour,1,517,3.93,4,6.66
10,space,1,560,6.78,5,126.54
10,spirit,1,442,7,6,64.9
10,stool,1,470,4.56,5,8.64
10,talent,1,430,7.56,6,20.95
10,theory,1,532,5.3,6,131.29
10,thief,1,415,2.13,5,7.57
10,toxic,1,410,2.1,5,12.2
10,travel,1,463,7.1,6,72.71
10,trophy,1,601,7.78,6,13.03
10,trunk,1,401,5.09,5,8.16
10,wasp,1,3815,3.37,4,2.58
10,wife,1,360,6.33,4,171.06
10,windmill,1,488,5.6,8,1.94
10,writer,1,511,5.52,6,37.42
11,alive,1,495,7.25,5,42.54
11,bandage,1,1430,4.54,7,2.53
11,bright,1,498,7.5,6,55.4
11,carcass,1,762,3.34,7,1.4
11,cheer,1,630,8.1,5,7.81
11,coast,1,358,5.98,5,47.01
11,detail,1,428,5.55,6,62.23
11,devil,1,512,2.21,5,17.32
11,door,1,423,5.13,4,253.65
11,evil,1,423,3.23,4,28.83
11,face,1,423,6.39,4,349.78
11,fat,1,470,2.28,3,46.11
11,foul,1,421,2.81,4,10.43
11,glass,1,485,4.75,5,98.56
11,grenade,1,666,3.6,7,1.94
11,hatred,1,460,1.98,6,10.52
11,heal,1,424,7.09,4,5.24
11,kettle,1,440,5.22,6,9.25
11,kick,1,384,4.31,4,23.24
11,kind,1,415,7.59,4,237.97
11,lesbian,1,473,4.67,7,7.13
11,maggot,1,540,2.06,6,2.35
11,moral,1,388,6.2,5,53.95
11,mountain,1,509,6.59,8,39.61
11,news,1,830,5.3,4,145.58
11,pain,1,429,2.13,4,73.38
11,pig,1,397,5.07,3,13.51
11,quarrel,1,491,2.93,7,5.83
11,rattle,1,510,5.03,6,3.77
11,safe,1,584,7.07,4,69.73
11,scum,1,637,2.43,4,5.78
11,shadow,1,472,4.35,6,30.95
11,sin,1,393,2.8,3,13.61
11,slap,1,531,2.95,4,4.88
11,snuggle,1,426,7.92,7,0.33
11,stress,1,456,2.09,6,48.7
11,table,1,428,5.22,5,202
11,tank,1,468,5.16,4,33.24
11,toothache,1,520,1.98,9,0.98
11,toy,1,451,7,3,9.77
11,trust,1,400,6.68,5,101.98
11,useful,1,466,7.14,6,100.71
11,vehicle,1,487,6.27,7,42.23
11,village,1,403,5.92,7,113.4
11,watch,1,365,5.78,5,95.57
11,world,1,421,6.5,5,590.31
12,alert,1,573,6.2,5,16
12,beggar,1,442,3.22,6,2.42
12,brave,1,609,7.15,5,18.3
12,breeze,1,972,6.85,6,13.81
12,caress,1,1056,7.84,6,2.13
12,charm,1,599,6.77,5,14.25
12,cow,1,738,5.57,3,13.96
12,crude,0,1723,3.12,5,13.7
12,crutch,1,597,3.43,6,1.17
12,cyclone,1,633,3.6,7,0.95
12,earth,1,470,7.15,5,97.15
12,fun,1,3840,8.37,3,51.21
12,game,1,615,6.98,4,150.08
12,hard,1,487,5.22,4,229.35
12,hat,1,1307,5.46,3,31.37
12,hotel,1,796,6,5,114.47
12,hurt,1,557,1.9,4,45.81
12,idiot,1,725,3.16,5,6.49
12,improve,1,522,7.65,7,62.08
12,interest,1,936,6.97,8,276.11
12,iron,1,466,4.9,4,47.5
12,lost,1,592,2.82,4,194.2
12,louse,1,681,2.81,5,0.5
12,manure,1,643,3.1,6,3.01
12,market,1,471,5.66,6,300.78
12,medicine,1,569,5.67,8,27.87
12,nectar,1,806,6.9,6,1.47
12,needle,1,845,3.82,6,12.49
12,neglect,1,555,2.63,7,12.05
12,noisy,1,759,5.02,5,10.23
12,penis,1,521,5.9,5,5.34
12,pinch,1,822,3.83,5,5.59
12,pollute,1,741,1.85,7,1.14
12,pressure,1,710,3.38,8,119.75
12,radiant,1,867,6.73,7,2.45
12,reward,1,722,7.53,6,19.79
12,scandal,1,1232,3.32,7,14.73
12,snake,1,526,3.31,5,7.54
12,snob,1,710,3.36,4,1.25
12,sour,1,1231,3.93,4,6.66
12,space,1,1020,6.78,5,126.54
12,spirit,1,644,7,6,64.9
12,stool,1,417,4.56,5,8.64
12,talent,1,448,7.56,6,20.95
12,theory,1,768,5.3,6,131.29
12,thief,1,1465,2.13,5,7.57
12,toxic,1,562,2.1,5,12.2
12,travel,1,460,7.1,6,72.71
12,trophy,1,866,7.78,6,13.03
12,trunk,1,743,5.09,5,8.16
12,wasp,1,556,3.37,4,2.58
12,wife,1,540,6.33,4,171.06
12,windmill,1,462,5.6,8,1.94
12,writer,1,556,5.52,6,37.42
13,alive,1,1033,7.25,5,42.54
13,bandage,1,524,4.54,7,2.53
13,bright,1,439,7.5,6,55.4
13,carcass,1,558,3.34,7,1.4
13,cheer,1,505,8.1,5,7.81
13,coast,1,455,5.98,5,47.01
13,detail,1,453,5.55,6,62.23
13,devil,1,443,2.21,5,17.32
13,door,1,823,5.13,4,253.65
13,evil,1,443,3.23,4,28.83
13,face,1,401,6.39,4,349.78
13,fat,1,337,2.28,3,46.11
13,foul,1,451,2.81,4,10.43
13,glass,1,676,4.75,5,98.56
13,grenade,1,794,3.6,7,1.94
13,hatred,1,546,1.98,6,10.52
13,heal,1,428,7.09,4,5.24
13,kettle,1,420,5.22,6,9.25
13,kick,1,612,4.31,4,23.24
13,kind,1,445,7.59,4,237.97
13,lesbian,1,584,4.67,7,7.13
13,maggot,1,446,2.06,6,2.35
13,moral,1,491,6.2,5,53.95
13,mountain,1,571,6.59,8,39.61
13,news,1,342,5.3,4,145.58
13,pain,1,403,2.13,4,73.38
13,pig,1,575,5.07,3,13.51
13,quarrel,1,448,2.93,7,5.83
13,rattle,1,612,5.03,6,3.77
13,safe,1,499,7.07,4,69.73
13,scum,1,431,2.43,4,5.78
13,shadow,1,603,4.35,6,30.95
13,sin,1,433,2.8,3,13.61
13,slap,1,509,2.95,4,4.88
13,snuggle,1,636,7.92,7,0.33
13,stress,1,402,2.09,6,48.7
13,table,1,599,5.22,5,202
13,tank,1,434,5.16,4,33.24
13,toothache,1,598,1.98,9,0.98
13,toy,1,407,7,3,9.77
13,trust,1,482,6.68,5,101.98
13,useful,1,677,7.14,6,100.71
13,vehicle,1,468,6.27,7,42.23
13,village,1,415,5.92,7,113.4
13,watch,1,362,5.78,5,95.57
13,world,1,414,6.5,5,590.31
14,alert,1,439,6.2,5,16
14,beggar,1,543,3.22,6,2.42
14,brave,1,453,7.15,5,18.3
14,breeze,1,554,6.85,6,13.81
14,caress,1,519,7.84,6,2.13
14,charm,1,457,6.77,5,14.25
14,cow,1,401,5.57,3,13.96
14,crude,1,788,3.12,5,13.7
14,crutch,1,578,3.43,6,1.17
14,cyclone,1,585,3.6,7,0.95
14,earth,1,611,7.15,5,97.15
14,fun,1,435,8.37,3,51.21
14,game,1,616,6.98,4,150.08
14,hard,1,412,5.22,4,229.35
14,hat,1,468,5.46,3,31.37
14,hotel,1,850,6,5,114.47
14,hurt,1,556,1.9,4,45.81
14,idiot,1,520,3.16,5,6.49
14,improve,1,634,7.65,7,62.08
14,interest,1,508,6.97,8,276.11
14,iron,1,519,4.9,4,47.5
14,lost,1,666,2.82,4,194.2
14,louse,1,633,2.81,5,0.5
14,manure,1,549,3.1,6,3.01
14,market,1,774,5.66,6,300.78
14,medicine,1,605,5.67,8,27.87
14,nectar,1,489,6.9,6,1.47
14,needle,1,515,3.82,6,12.49
14,neglect,1,1159,2.63,7,12.05
14,noisy,1,598,5.02,5,10.23
14,penis,1,592,5.9,5,5.34
14,pinch,1,553,3.83,5,5.59
14,pollute,1,527,1.85,7,1.14
14,pressure,1,489,3.38,8,119.75
14,radiant,1,598,6.73,7,2.45
14,reward,1,500,7.53,6,19.79
14,scandal,1,691,3.32,7,14.73
14,snake,1,658,3.31,5,7.54
14,snob,1,487,3.36,4,1.25
14,sour,1,535,3.93,4,6.66
14,space,1,402,6.78,5,126.54
14,spirit,1,483,7,6,64.9
14,stool,1,585,4.56,5,8.64
14,talent,0,487,7.56,6,20.95
14,theory,1,480,5.3,6,131.29
14,thief,1,495,2.13,5,7.57
14,toxic,1,610,2.1,5,12.2
14,travel,1,520,7.1,6,72.71
14,trophy,1,512,7.78,6,13.03
14,trunk,1,439,5.09,5,8.16
14,wasp,1,543,3.37,4,2.58
14,wife,1,527,6.33,4,171.06
14,windmill,1,483,5.6,8,1.94
14,writer,1,652,5.52,6,37.42
15,alive,1,504,7.25,5,42.54
15,bandage,1,546,4.54,7,2.53
15,bright,1,398,7.5,6,55.4
15,carcass,0,476,3.34,7,1.4
15,cheer,1,549,8.1,5,7.81
15,coast,1,535,5.98,5,47.01
15,detail,1,455,5.55,6,62.23
15,devil,1,428,2.21,5,17.32
15,door,1,448,5.13,4,253.65
15,evil,1,422,3.23,4,28.83
15,face,1,466,6.39,4,349.78
15,fat,1,498,2.28,3,46.11
15,foul,1,494,2.81,4,10.43
15,glass,1,476,4.75,5,98.56
15,grenade,1,475,3.6,7,1.94
15,hatred,1,730,1.98,6,10.52
15,heal,1,371,7.09,4,5.24
15,kettle,1,476,5.22,6,9.25
15,kick,1,409,4.31,4,23.24
15,kind,1,455,7.59,4,237.97
15,lesbian,1,535,4.67,7,7.13
15,maggot,1,558,2.06,6,2.35
15,moral,1,428,6.2,5,53.95
15,mountain,1,591,6.59,8,39.61
